colony,depth,date,reef,score,mortality,C.SH,D.SH,tot.SH,propD,syms,dom,tdom,vis,days,year
1,5,2014-10-24,HIMB,1,0,0.0123460279934861,NA,0.0123460279934861,0,C,C,C,bleached,0,y1
1,5,2014-11-04,HIMB,1,0,0.0219940884194043,NA,0.0219940884194043,0,C,C,C,bleached,11,y1
1,5,2014-11-24,HIMB,1,0,0.0174739720462937,8.58325232807713e-05,0.0175598045695745,0.00488801130677113,CD,C,C,bleached,31,y1
1,5,2014-12-16,HIMB,2,0,0.00219836095758338,NA,0.00219836095758338,0,C,C,C,bleached,53,y1
1,5,2015-01-14,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
1,5,2015-05-06,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,194,y1
1,5,2015-08-11,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,291,y2
1,5,2015-09-14,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,325,y2
1,5,2015-10-01,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,342,y2
1,5,2015-10-21,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
1,5,2015-11-04,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,376,y2
1,5,2015-12-17,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,419,y2
1,5,2016-01-20,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,453,y2
1,5,2016-02-11,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,475,y2
109,6,2014-10-24,44,1,0,0.0016741409564239,NA,0.0016741409564239,0,C,C,C,bleached,0,y1
109,6,2014-11-04,44,2,0,0.00433588860564507,NA,0.00433588860564507,0,C,C,C,bleached,11,y1
109,6,2014-11-24,44,2,0,0.0113693480042548,NA,0.0113693480042548,0,C,C,C,bleached,31,y1
109,6,2014-12-16,44,2,0,0.119191462605816,NA,0.119191462605816,0,C,C,C,bleached,53,y1
109,6,2015-01-14,44,2,0,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
109,6,2015-05-06,44,3,0,0.0239953328033381,NA,0.0239953328033381,0,C,C,C,bleached,194,y1
109,6,2015-08-11,44,2,0,0.0102069352304716,0,0.0102069352304716,0,C,C,C,bleached,291,y2
109,6,2015-09-14,44,1,0,0.0138895488800705,0,0.0138895488800705,0,C,C,C,bleached,325,y2
109,6,2015-10-01,44,1,0,0.00705784544346384,0,0.00705784544346384,0,C,C,C,bleached,342,y2
109,6,2015-10-21,44,1,0,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
109,6,2015-11-04,44,2,0,0.196969417645039,0,0.196969417645039,0,C,C,C,bleached,376,y2
109,6,2015-12-04,44,NA,NA,0.0817772609870064,0,0.0817772609870064,0,C,C,C,bleached,406,y2
109,6,2015-12-17,44,2,1,0.199802086324795,0,0.199802086324795,0,C,C,C,bleached,419,y2
109,6,2016-01-20,44,2,1,0.0161776240815135,0,0.0161776240815135,0,C,C,C,bleached,453,y2
109,6,2016-02-11,44,2,1,0.198862554939117,0,0.198862554939117,0,C,C,C,bleached,475,y2
109,6,2016-03-31,44,NA,NA,0.0466264872098493,0,0.0466264872098493,0,C,C,C,bleached,524,y2
11,2,2014-10-24,HIMB,1,0,0.00912288266956285,NA,0.00912288266956285,0,C,C,C,bleached,0,y1
11,2,2014-11-04,HIMB,1,0,0.0030983306447951,NA,0.0030983306447951,0,C,C,C,bleached,11,y1
11,2,2014-11-24,HIMB,1,0,0.0140392795939293,NA,0.0140392795939293,0,C,C,C,bleached,31,y1
11,2,2014-12-16,HIMB,1,0,0.000786588610863615,NA,0.000786588610863615,0,C,C,C,bleached,53,y1
11,2,2015-01-14,HIMB,1,1,0.0214403831495966,NA,0.0214403831495966,0,C,C,C,bleached,82,y1
11,2,2015-05-06,HIMB,2,1,0.0437430388217518,NA,0.0437430388217518,0,C,C,C,bleached,194,y1
11,2,2015-08-11,HIMB,2,1,0.137813923042928,0,0.137813923042928,0,C,C,D,bleached,291,y2
11,2,2015-09-14,HIMB,1,1,0.0027196628921971,0,0.0027196628921971,0,C,C,D,bleached,325,y2
11,2,2015-10-01,HIMB,1,1,0,0,2e-05,NA,NA,NA,D,bleached,342,y2
11,2,2015-10-21,HIMB,1,1,2.55307165154623e-05,0,2.55307165154623e-05,0,C,C,D,bleached,362,y2
11,2,2015-11-04,HIMB,1,1,0,0,2e-05,NA,NA,NA,D,bleached,376,y2
11,2,2015-12-04,HIMB,NA,NA,0,0.51331103176844,0.51331103176844,1,D,D,D,bleached,406,y2
11,2,2015-12-17,HIMB,2,2,0,0.569909667805437,0.569909667805437,1,D,D,D,bleached,419,y2
11,2,2016-01-20,HIMB,2,2,0.00284864893776449,0.238614756656426,0.241463405594191,0.988202564563543,DC,D,D,bleached,453,y2
11,2,2016-02-11,HIMB,2,2,0.000142129490644623,0.214761184394489,0.214903313885134,0.999338635184004,DC,D,D,bleached,475,y2
11,2,2016-03-31,HIMB,NA,NA,0,0.182106607101046,0.182106607101046,1,D,D,D,bleached,524,y2
110,6,2014-10-24,44,3,0,0.571206581669311,NA,0.571206581669311,0,C,C,C,not bleached,0,y1
110,6,2014-11-04,44,3,0,NA,NA,NA,NA,NA,NA,NA,NA,11,y1
110,6,2014-11-24,44,3,0,0.0783755168939273,NA,0.0783755168939273,0,C,C,C,not bleached,31,y1
110,6,2014-12-16,44,3,0,0.0624636620543371,NA,0.0624636620543371,0,C,C,C,not bleached,53,y1
